node,deg_centrality,in_deg_centrality,out_deg_centrality,close_centrality,between_centrality,eigenvec_centrality,pagerank
14,0.9916666666666667,0.5416666666666666,0.45,0.6857142857142857,0.0026244871908123074,0.079172405419389,0.008149854157786131
10,1.4166666666666667,0.8333333333333334,0.5833333333333334,0.8571428571428571,0.00863486615035761,0.11465032297685412,0.013688955159142183
38,1.675,0.7,0.975,0.7692307692307693,0.0056326690397667965,0.09736363567221577,0.008737641590066984
26,1.8916666666666666,0.9333333333333333,0.9583333333333334,0.9375,0.013202750637976655,0.12795173947175786,0.013236927820398538
5,0.9249999999999999,0.7083333333333334,0.21666666666666667,0.7741935483870968,0.0018693648948128986,0.09750453326977998,0.011918995650226007
22,1.2,0.7416666666666667,0.4583333333333333,0.7947019867549668,0.004245266101323757,0.10315597588634698,0.011949057911943459
6,1.4916666666666667,0.9249999999999999,0.5666666666666667,0.9302325581395349,0.007121514489787327,0.12562064828481215,0.013971541100870172
73,1.3916666666666666,0.6833333333333333,0.7083333333333334,0.7547169811320755,0.0020041653265326447,0.09385988837379244,0.007607590900175248
87,1.4333333333333333,0.5833333333333334,0.85,0.7017543859649122,0.002321494951049143,0.08055140290031422,0.006561977157235973
55,1.1416666666666666,0.6666666666666666,0.475,0.75,0.001596958021699843,0.09296388804002159,0.008163443315052716
83,1.2333333333333334,0.6083333333333333,0.625,0.718562874251497,0.0019184462325287641,0.08713713212402792,0.007517037641096768
39,1.675,0.8416666666666667,0.8333333333333334,0.8633093525179856,0.005116904907783506,0.11751425133695476,0.010769245743137286
99,1.1833333333333333,0.6333333333333333,0.55,0.7317073170731707,0.0013427875572934208,0.08953852761298203,0.007524251365436659
85,1.3583333333333334,0.65,0.7083333333333334,0.7407407407407407,0.002021150772866104,0.09052776868771649,0.007409112133011937
61,1.5583333333333333,0.7083333333333334,0.85,0.7692307692307693,0.003354955524872032,0.09800275490170005,0.00836322363428717
114,1.4916666666666667,0.6,0.8916666666666666,0.7100591715976331,0.0033415538931629504,0.0854989669028711,0.007363412970358184
52,1.6916666666666667,0.7916666666666666,0.9,0.821917808219178,0.004961512290358841,0.10936811559376505,0.009510630831024009
105,1.4,0.65,0.75,0.7361963190184049,0.00265647814462062,0.09169602983599814,0.007873545028172625
70,1.5166666666666666,0.7166666666666667,0.8,0.7741935483870968,0.0035635504675260356,0.09869674027439451,0.008055404937123612
63,1.6333333333333333,0.7083333333333334,0.9249999999999999,0.7692307692307693,0.004339545723218215,0.09752014338008144,0.008271835018462457
60,1.5333333333333332,0.7583333333333333,0.775,0.8053691275167785,0.003509830177790842,0.10640473712020662,0.009184275192452967
2,0.1,0.075,0.025,0.5172413793103449,2.488740594276926e-06,0.01172995968060069,0.002208302911914546
90,1.4583333333333333,0.625,0.8333333333333334,0.7228915662650602,0.00243594669100799,0.08642075844810568,0.007079831563077624
119,1.1833333333333333,0.49166666666666664,0.6916666666666667,0.6557377049180327,0.0011677990622268796,0.06902512039987772,0.005783575717098841
92,0.975,0.5083333333333333,0.4666666666666667,0.6629834254143646,0.0011265261386542314,0.07170413374967119,0.006090857405239326
111,0.9583333333333334,0.525,0.43333333333333335,0.6741573033707865,0.0008542531380967377,0.07503924570819569,0.006414995757602323
88,1.15,0.5833333333333334,0.5666666666666667,0.7058823529411765,0.0026591824775547006,0.0820321248963794,0.007518223773974176
103,1.325,0.575,0.75,0.6976744186046512,0.0025055124346455675,0.07953599673102216,0.006991323526139483
95,1.0083333333333333,0.5333333333333333,0.475,0.6779661016949152,0.0006455693509728334,0.07564847800977965,0.006084216639320605
117,1.2916666666666667,0.4666666666666667,0.825,0.6486486486486487,0.0011815466363753956,0.06437452473819086,0.005121639833142684
74,1.6083333333333334,0.75,0.8583333333333333,0.8,0.0033384685930710396,0.1036957884877994,0.008577521177117454
78,1.2666666666666666,0.5583333333333333,0.7083333333333334,0.6857142857142857,0.0012883732976658976,0.07958940354249935,0.006405529352511454
68,1.2166666666666666,0.6916666666666667,0.525,0.7643312101910829,0.0028753953360550776,0.09751901425952579,0.008726103339310514
94,1.5333333333333332,0.6166666666666667,0.9166666666666666,0.718562874251497,0.0042538497854694235,0.08520705860763321,0.007339227408913041
104,1.35,0.6166666666666667,0.7333333333333333,0.7142857142857143,0.002246542609208131,0.08558975775635265,0.007151322869707018
118,0.8416666666666667,0.4583333333333333,0.3833333333333333,0.6486486486486487,0.000507020755257179,0.06499481602699625,0.0055910392792681545
93,1.3833333333333333,0.55,0.8333333333333334,0.6818181818181818,0.0018426935946313585,0.07672497389356964,0.006234394454171231
76,1.3666666666666667,0.7333333333333333,0.6333333333333333,0.7894736842105263,0.002545163742279999,0.10273486032889262,0.008960597686071565
97,1.3833333333333333,0.5333333333333333,0.85,0.6779661016949152,0.0020777718240643592,0.0733397487759506,0.006228515305395994
101,1.25,0.6083333333333333,0.6416666666666666,0.7100591715976331,0.0014488813365108688,0.08331880651832466,0.006747992029236795
79,1.4166666666666667,0.6083333333333333,0.8083333333333333,0.7100591715976331,0.0020308198687559145,0.08485855239751955,0.0068101184914877155
77,1.3833333333333333,0.6666666666666666,0.7166666666666667,0.7453416149068323,0.00209922583963848,0.09299971084181201,0.0076681471556382455
108,0.9666666666666667,0.45,0.5166666666666666,0.6382978723404256,0.00048429177367342863,0.06460950807822735,0.005311811178862881
